nodenumber     x-coordinate     y-coordinate     z-coordinate       wall-shear     x-wall-shear     y-wall-shear     z-wall-shear 
       139 -9.143327909E-04 -2.845077650E-03  1.154038603E-03  4.858476585E-01  2.576730720E-03  3.182387444E-03  4.857363884E-01 
       140  2.896480221E-03  7.466982362E-04  1.154019411E-03  4.867334113E-01 -1.016623606E-03  2.254605769E-03  4.866497347E-01 
       141  2.526471973E-03  1.596699194E-03  1.155260856E-03  4.877671658E-01 -1.494459127E-03  1.674600555E-03  4.877156131E-01 
       142 -2.894879479E-03 -7.534411311E-04  1.159087713E-03  4.707686569E-01 -1.507042145E-03  2.273365557E-03  4.706338762E-01 
       143 -2.766761196E-03 -1.129624659E-03  1.161090787E-03  4.810048168E-01 -1.340014185E-03  2.832267333E-03  4.808015570E-01 
       144 -2.978568904E-03  2.784239342E-04  1.166996862E-03  4.757819009E-01 -1.464526144E-03  3.293544544E-03  4.756530243E-01 
       145 -1.276380242E-03 -2.705621848E-03  1.197278795E-03  4.733254898E-01 -2.153013958E-03  1.569756595E-03  4.732345264E-01 
       146 -2.382293337E-03 -1.820984927E-03  1.213130293E-03  4.621365610E-01 -1.197745588E-03  2.208796168E-03  4.621179048E-01 
       147  1.940408441E-03 -2.274417508E-03  1.223390399E-03  4.645166396E-01 -1.749719497E-04 -9.847169228E-04  4.645105219E-01 
       148  1.310458126E-03 -2.693187365E-03  1.226837455E-03  4.636418367E-01 -3.026269293E-03 -4.210144127E-07  4.634654440E-01 
       149 -1.937035414E-03 -2.279255498E-03  1.230972706E-03  4.589875507E-01 -1.360208806E-03  1.221086575E-03  4.589805566E-01 
       150 -2.792228593E-03  1.078689507E-03  1.242872893E-03  4.558888617E-01 -7.752686008E-04  2.803122028E-03  4.557529759E-01 
       151  3.477745221E-04  2.969151638E-03  1.244153559E-03  4.563509172E-01  3.143951051E-03  1.912349708E-03  4.562531173E-01 
       152 -2.210743771E-03  2.025471784E-03  1.255387962E-03  4.460355728E-01 -1.010986656E-03 -8.061543759E-04  4.459648551E-01 
       153  2.397149438E-03 -1.785708274E-03  1.265834511E-03  4.504630583E-01 -2.202170017E-04  1.360209888E-04  4.504486427E-01 
       154  1.477329086E-03  2.599654560E-03  1.271189750E-03  4.637631983E-01  2.764556646E-04 -1.732864719E-03  4.637202560E-01 
       155  2.793562783E-03 -1.074415258E-03  1.271979750E-03  4.465517926E-01 -1.093556977E-03  1.547369276E-04  4.464229543E-01 
       156  2.924699207E-03 -6.668944080E-04  1.288864316E-03  4.416878054E-01 -1.545156824E-03  3.590091623E-03  4.415016021E-01 
       157  2.041573145E-03  2.198318824E-03  1.289525213E-03  4.499015145E-01  9.320830607E-05  1.661353819E-03  4.498790468E-01 
       158 -6.118820004E-04 -2.931583067E-03  1.297902169E-03  4.469215753E-01  4.987189399E-03  2.200304867E-03  4.468101717E-01 
       159  9.134707885E-04 -2.854273216E-03  1.301352205E-03  4.452403716E-01 -6.799413842E-03 -1.658266591E-03  4.450405277E-01 
       160 -2.913997073E-03  7.016628718E-04  1.304642143E-03  4.392206716E-01 -1.179583479E-03  4.007365742E-03  4.391090579E-01 
       161 -1.808613625E-03  2.393539781E-03  1.312385860E-03  4.370505850E-01 -3.811422379E-03 -1.718423373E-03  4.369016981E-01 
       162  1.383094090E-05  2.991292142E-03  1.339110200E-03  4.393052698E-01  3.196135087E-03  4.591190564E-04  4.391666064E-01 
       163 -2.989790582E-03 -2.073493326E-05  1.352195208E-03  4.397995740E-01  1.590429410E-03 -1.167607056E-03  4.397084650E-01 
       164 -1.474515985E-03  2.603133802E-03  1.375536507E-03  4.272151716E-01 -4.290426567E-03  1.104112038E-03  4.270798755E-01 
       165  2.693056711E-03  1.311676565E-03  1.384556359E-03  4.297790340E-01 -2.219714166E-03  6.254316952E-03  4.296880565E-01 
       166 -2.590074901E-03 -1.494823527E-03  1.433804938E-03  4.194501922E-01 -5.153980471E-03  4.331136449E-03  4.193558855E-01 
       167 -2.062605866E-04 -2.987350367E-03  1.437575528E-03  4.153646064E-01  2.569836563E-03 -2.069618963E-04  4.152979378E-01 
       168 -2.666254170E-03  1.351254885E-03  1.444539258E-03  4.203266205E-01  3.621445956E-03  3.034778427E-03  4.202614983E-01 
       169  1.686358174E-03 -2.469899533E-03  1.457753608E-03  4.173195427E-01 -7.699532113E-04 -2.714651400E-03  4.172683449E-01 
       170 -2.964852712E-03 -4.271143580E-04  1.460102985E-03  4.135597367E-01  1.847994582E-03  9.858874496E-04  4.134706860E-01 
